week,cluster_id,brand,prod_brick,sales_units,per_unit_grossprice,per_unit_netprice,per_unit_discountprice,discount_per,promo_week_flg,age,week_no,year_no
9.2013,1,CRESCENT SET,CKD,436,953.587156,861.6390596,91.94809633,0.09642338,0,1,9,2013
10.2013,1,CRESCENT SET,CKD,1015,934.7635468,879.6272118,55.13633498,0.058984259,0,2,10,2013
11.2013,1,CRESCENT SET,CKD,1101,897.8283379,844.5441326,53.28420527,0.059347876,0,3,11,2013
12.2013,1,CRESCENT SET,CKD,1495,946.4247492,862.1677391,84.25701003,0.089026634,0,4,12,2013
13.2013,1,CRESCENT SET,CKD,1684,935.3728029,805.3634323,130.0093705,0.138992036,0,5,13,2013
14.2013,1,CRESCENT SET,CKD,1081,897.2496762,876.8480111,20.40166512,0.022738002,0,6,14,2013
15.2013,1,CRESCENT SET,CKD,1389,878.5223182,861.4742117,17.04810655,0.019405434,0,7,15,2013
16.2013,1,CRESCENT SET,CKD,1002,877.8413174,859.656487,18.18483034,0.020715396,0,8,16,2013
17.2013,1,CRESCENT SET,CKD,1269,892.9550039,788.8175177,104.1374862,0.116621202,0,9,17,2013
18.2013,1,CRESCENT SET,CKD,1279,852.1887412,752.2260751,99.96266615,0.117301088,0,10,18,2013
19.2013,1,CRESCENT SET,CKD,1185,816.8118143,745.4522616,71.35955274,0.087363517,0,11,19,2013
20.2013,1,CRESCENT SET,CKD,1066,786.1378049,723.4446435,62.69316135,0.07974831,0,12,20,2013
21.2013,1,CRESCENT SET,CKD,1088,794.6126838,775.3589154,19.25376838,0.024230381,0,13,21,2013
22.2013,1,CRESCENT SET,CKD,1016,789.461122,773.0597441,16.40137795,0.020775409,0,14,22,2013
23.2013,1,CRESCENT SET,CKD,1045,783.6402871,760.200689,23.43959809,0.02991117,0,15,23,2013
24.2013,1,CRESCENT SET,CKD,878,791.2029043,763.9075399,27.29536446,0.034498565,0,16,24,2013
25.2013,1,CRESCENT SET,CKD,1183,813.9532544,641.8390533,172.1142012,0.211454651,0,17,25,2013
26.2013,1,CRESCENT SET,CKD,1401,837.6431121,624.6314847,213.0116274,0.254298787,0,18,26,2013
27.2013,1,CRESCENT SET,CKD,1390,775.3344748,508.2442518,267.090223,0.344483873,1,19,27,2013
28.2013,1,CRESCENT SET,CKD,1045,883.2154067,589.2762871,293.9391196,0.332805698,1,20,28,2013
29.2013,1,CRESCENT SET,CKD,783,894.0689272,598.4537931,295.6151341,0.330640206,1,21,29,2013
30.2013,1,CRESCENT SET,CKD,721,929.9177115,593.3723162,336.5453953,0.361908792,1,22,30,2013
31.2013,1,CRESCENT SET,CKD,706,940.5336969,605.5680737,334.9656232,0.356144202,1,23,31,2013
32.2013,1,CRESCENT SET,CKD,742,953.3702156,629.0231671,324.3470485,0.340211015,1,24,32,2013
33.2013,1,CRESCENT SET,CKD,1378,967.9866473,559.4423367,408.5443106,0.42205573,0,25,33,2013
34.2013,1,CRESCENT SET,CKD,786,981.4791476,862.9835496,118.495598,0.120731651,0,26,34,2013
35.2013,1,CRESCENT SET,CKD,975,935.3688205,875.4607897,59.90803077,0.064047496,0,27,35,2013
36.2013,1,CRESCENT SET,CKD,1182,934.2619289,865.4770389,68.78489002,0.073624845,0,28,36,2013
37.2013,1,CRESCENT SET,CKD,1689,970.147839,906.8685968,63.27924216,0.065226391,0,29,37,2013
38.2013,1,CRESCENT SET,CKD,1458,1000.488347,999.4595405,1.028806584,0.001028304,0,30,38,2013
39.2013,1,CRESCENT SET,CKD,1453,988.7398486,988.4923606,0.247487956,0.000250306,0,31,39,2013
40.2013,1,CRESCENT SET,CKD,2016,1008.126984,1008.126984,0,0,0,32,40,2013
41.2013,1,CRESCENT SET,CKD,1444,1034.180055,1034.180055,0,0,0,33,41,2013
42.2013,1,CRESCENT SET,CKD,1069,1005.173545,1005.173545,0,0,0,34,42,2013
43.2013,1,CRESCENT SET,CKD,783,1045.871009,1045.871009,0,0,0,35,43,2013
44.2013,1,CRESCENT SET,CKD,989,1051.881699,1051.881699,0,0,0,36,44,2013
45.2013,1,CRESCENT SET,CKD,697,1017.077475,1017.077475,0,0,0,37,45,2013
46.2013,1,CRESCENT SET,CKD,950,1098.724716,826.2233895,272.5013263,0.248016016,0,38,46,2013
47.2013,1,CRESCENT SET,CKD,883,1072.238279,819.6954926,252.542786,0.235528605,0,39,47,2013
48.2013,1,CRESCENT SET,CKD,405,1057.567407,1045.182765,12.38464198,0.011710499,0,40,48,2013
49.2013,1,CRESCENT SET,CKD,401,1093.182045,992.9951122,100.1869327,0.091647071,0,41,49,2013
50.2013,1,CRESCENT SET,CKD,375,1128.546133,981.2785333,147.2676,0.130493203,0,42,50,2013
51.2013,1,CRESCENT SET,CKD,536,1079.353358,850.6372201,228.7161381,0.211901076,0,43,51,2013
52.2013,1,CRESCENT SET,CKD,811,1064.482984,737.7979162,326.6850678,0.306895528,1,44,52,2013
1.2014,1,CRESCENT SET,CKD,874,1056.893021,718.5531007,338.3399199,0.320126932,1,45,1,2014
